"Step","train - metrics/mAP50-95(B)","train - metrics/mAP50-95(B)__MIN","train - metrics/mAP50-95(B)__MAX","train5 - metrics/mAP50-95(B)","train5 - metrics/mAP50-95(B)__MIN","train5 - metrics/mAP50-95(B)__MAX"
"1","0.46667","0.46667","0.46667","0.46667","0.46667","0.46667"
"2","0.21935","0.21935","0.21935","0.21935","0.21935","0.21935"
"3","0.14074","0.14074","0.14074","0.14074","0.14074","0.14074"
"4","0.64359","0.64359","0.64359","0.64359","0.64359","0.64359"
"5","0.79092","0.79092","0.79092","0.79092","0.79092","0.79092"
"6","0.52417","0.52417","0.52417","0.52417","0.52417","0.52417"
"7","0.81256","0.81256","0.81256","0.81256","0.81256","0.81256"
"8","0.86084","0.86084","0.86084","0.86084","0.86084","0.86084"
"9","0.81486","0.81486","0.81486","0.81486","0.81486","0.81486"
"10","0.87256","0.87256","0.87256","0.87256","0.87256","0.87256"
"11","0.86305","0.86305","0.86305","0.86305","0.86305","0.86305"
"12","0.86265","0.86265","0.86265","0.86265","0.86265","0.86265"
"13","0.83263","0.83263","0.83263","0.83263","0.83263","0.83263"
"14","0.85414","0.85414","0.85414","0.85414","0.85414","0.85414"
"15","0.88239","0.88239","0.88239","0.88239","0.88239","0.88239"
"16","0.88339","0.88339","0.88339","0.88339","0.88339","0.88339"
"17","0.89839","0.89839","0.89839","0.89839","0.89839","0.89839"
"18","0.90781","0.90781","0.90781","0.90781","0.90781","0.90781"
"19","0.90703","0.90703","0.90703","0.90703","0.90703","0.90703"
"20","0.9079371205650594","0.9079371205650594","0.9079371205650594","0.9079371205650594","0.9079371205650594","0.9079371205650594"